,movieId,mean,min
0,1,3.8924845221176003,3.7849690442352
1,2,3.7346927788078825,3.7346927788078825
2,3,3.6597267142695493,3.3194534285390986
3,4,2.486274954627949,1.8430127041742286
4,5,2.5580319596299406,2.5580319596299406
5,6,4.217656314016977,4.0
6,7,3.5489152676587494,2.790631296434762
7,10,3.975354451207498,3.975354451207498
8,11,3.99727806102592,3.99727806102592
9,12,2.524146277261667,2.524146277261667
10,14,4.870092640487545,4.870092640487545
11,16,5.053054543525566,4.976571881969463
12,17,4.431231336055655,3.612522942075356
13,19,3.4603324599748513,3.222049413437611
14,20,2.490260594893393,2.490260594893393
15,21,3.708868265255959,3.708868265255959
16,22,4.106058378060437,4.106058378060437
17,23,2.490260594893393,2.490260594893393
18,24,2.6704980842911876,2.6704980842911876
19,25,4.513911004453495,3.7206227700242525
20,26,3.8430127041742286,3.8430127041742286
21,28,5.183359800362976,5.183359800362976
22,29,4.281213967809808,4.047112455062022
23,31,4.697997442666226,4.12953720508167
24,32,4.588827789454842,4.288661569189757
25,34,3.727443091510633,3.625
26,36,5.355738259806875,4.868463815439522
27,39,4.154443943411028,3.9757543103448274
28,42,3.0384538017802765,3.0384538017802765
29,45,5.209562543784541,5.209562543784541
30,46,4.523706896551724,4.523706896551724
31,47,4.595738037953639,4.191476075907278
32,48,2.943945121985856,2.8386015325670497
33,50,4.4841899326543455,3.9683798653086906
34,52,4.631577230885435,3.9708492255001167
35,53,5.660496957403651,5.660496957403651
36,57,3.8430127041742286,3.8430127041742286
37,58,4.774933024335441,4.242666809788145
38,60,2.9474603914259085,2.9474603914259085
39,62,4.651456523267313,4.558031959629941
40,68,3.292305236270753,3.292305236270753
41,69,4.632895877117875,4.632895877117875
42,70,3.0460597488809027,3.0
43,76,2.490260594893393,2.490260594893393
44,79,3.1060583780604367,3.1060583780604367
45,81,3.699181807165595,3.292305236270753
46,82,4.486957215836526,3.6816091954022987
47,85,4.567658970222491,3.8430127041742286
48,86,3.490260594893393,3.490260594893393
49,88,4.558031959629941,4.558031959629941
50,95,3.3173419858322415,3.308304661319655
51,100,4.491379310344827,4.491379310344827
52,101,4.578974344241454,4.157948688482907
53,104,3.599061170882476,3.548197492163009
54,110,4.321321413164297,4.0
55,111,4.230666842974849,4.230666842974849
56,112,3.490260594893393,3.490260594893393
57,116,5.292305236270753,5.292305236270753
58,119,3.490260594893393,3.490260594893393
59,125,4.032501215133949,4.032501215133949
60,132,3.4745355411173326,3.4745355411173326
61,135,3.7231059935372492,3.700522331902085
62,140,4.425043103448276,4.326379310344827
63,141,3.913253005819099,3.74430583727793
64,144,1.9708492255001167,1.9708492255001167
65,145,4.253246381414597,3.376955557747524
66,150,4.293720665848341,4.12953720508167
67,151,4.827185834064274,4.6543716681285465
68,153,3.6765093791573964,3.393708315425789
69,154,3.8213876445463066,3.8213876445463066
70,157,5.0,5.0
71,158,3.982428549238894,3.982428549238894
72,159,1.9708492255001167,1.9708492255001167
73,160,3.561367247580577,3.561367247580577
74,161,4.207727485053723,4.207727485053723
75,162,4.321387644546307,4.321387644546307
